STATE,REGION,PMS,AGO,DPK,LPG,Date,Change in PMS,Change in AGO,Change in DPK,Change in LPG
Ekiti,South West,₦931.11,"₦1,145.56","₦1,185.71","₦1,166.67",27-Apr-25,-₦1.11,₦0.00,₦0.00,₦0.00
Lagos,South West,₦895.25,"₦1,081.76","₦1,450.00","₦1,110.94",27-Apr-25,₦0.00,-₦1.32,₦0.00,₦0.00
Ogun,South West,₦913.00,"₦1,101.25","₦1,265.00","₦1,100.00",27-Apr-25,-₦10.75,-₦8.75,₦0.00,₦0.00
Ondo,South West,₦925.63,"₦1,137.75","₦1,310.38","₦1,245.63",27-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Osun,South West,₦902.88,"₦1,101.25","₦1,290.00","₦1,218.57",27-Apr-25,-₦1.87,-₦5.00,₦0.00,₦0.00
Oyo,South West,₦909.38,"₦1,100.63","₦1,350.00","₦1,112.50",27-Apr-25,₦11.75,₦7.50,₦0.00,₦12.50
,National,₦953.02,"₦1,167.22","₦1,314.90","₦1,223.92",28-Apr-25,-₦2.27,₦2.40,-₦4.54,-₦0.97
Abuja,North Central,₦941.79,"₦1,166.00","₦1,164.29","₦1,227.14",28-Apr-25,-₦5.00,-₦7.43,-₦35.71,₦3.14
Benue,North Central,₦991.11,"₦1,138.75",₦0.00,"₦1,300.00",28-Apr-25,-₦0.39,₦0.00,₦0.00,₦0.00
Kogi,North Central,₦949.38,"₦1,158.50","₦1,425.00","₦1,304.38",28-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Kwara,North Central,₦970.00,"₦1,200.00","₦1,225.00","₦1,400.00",28-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Nasarawa,North Central,₦988.75,"₦1,166.67","₦1,500.00","₦1,153.33",28-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Niger,North Central,₦954.29,"₦1,155.00","₦1,475.00","₦1,140.00",28-Apr-25,-₦7.85,₦0.00,₦0.00,-₦5.00
Plateau,North Central,₦971.11,"₦1,288.89","₦1,266.67","₦1,247.78",28-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Adamawa,North East,₦978.89,"₦1,266.11","₦1,263.33","₦1,205.56",28-Apr-25,₦0.00,₦88.89,-₦1.11,₦0.00
Bauchi,North East,₦953.89,"₦1,148.89","₦1,340.00","₦1,181.11",28-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Borno,North East,"₦1,015.00","₦1,185.00","₦1,466.67","₦1,400.00",28-Apr-25,-₦41.11,-₦14.44,-₦8.33,₦0.00
Gombe,North East,₦967.22,"₦1,168.89","₦1,428.89","₦1,238.89",28-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Taraba,North East,₦975.56,"₦1,195.56","₦1,487.50","₦1,375.00",28-Apr-25,₦1.81,₦0.56,₦1.79,₦39.29
Yobe,North East,"₦1,014.44","₦1,247.78","₦1,318.89","₦1,180.00",28-Apr-25,-₦3.34,₦1.11,₦2.22,₦0.00
Jigawa,North West,₦977.22,"₦1,225.00","₦1,377.50","₦1,132.50",28-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Kaduna,North West,"₦1,072.22","₦1,190.00","₦1,300.00","₦1,137.50",28-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Kano,North West,₦971.13,"₦1,177.86","₦1,250.00","₦1,400.00",28-Apr-25,-₦0.12,₦0.00,₦0.00,₦0.00
Katsina,North West,₦956.88,"₦1,160.00","₦1,314.29","₦1,302.00",28-Apr-25,-₦3.75,₦0.00,-₦7.14,₦0.00
Kebbi,North West,₦969.75,"₦1,177.14","₦1,250.00","₦1,350.00",28-Apr-25,-₦1.25,₦0.00,₦0.00,-₦50.00
Sokoto,North West,₦976.25,"₦1,166.25","₦1,300.00","₦1,150.00",28-Apr-25,₦9.58,₦9.58,₦0.00,₦0.00
Zamfara,North West,"₦1,075.00","₦1,163.75","₦1,200.00","₦1,196.25",28-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Abia,South East,₦950.63,"₦1,266.25","₦1,302.86","₦1,300.00",28-Apr-25,₦3.49,₦11.96,-₦0.47,₦0.00
Anambra,South East,₦951.25,"₦1,180.00","₦1,400.00","₦1,196.00",28-Apr-25,-₦2.50,-₦2.50,₦33.33,-₦4.00
Ebonyi,South East,₦959.29,"₦1,090.00","₦1,500.00","₦1,100.00",28-Apr-25,₦3.66,-₦3.33,₦0.00,₦0.00
Enugu,South East,₦956.25,"₦1,262.50","₦1,300.00","₦1,387.50",28-Apr-25,-₦2.08,₦1.39,₦0.00,-₦1.39
Imo,South East,₦955.00,"₦1,278.75","₦1,300.00","₦1,300.00",28-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Akwa Ibom,South South,₦920.63,"₦1,170.00","₦1,205.71","₦1,108.57",28-Apr-25,₦0.00,₦0.00,-₦14.29,₦0.00
Bayelsa,South South,₦940.63,"₦1,106.00",₦0.00,"₦1,100.00",28-Apr-25,₦0.00,₦2.00,₦0.00,₦0.00
Cross River,South South,₦921.63,"₦1,260.00","₦1,220.00","₦1,300.00",28-Apr-25,-₦4.87,₦0.00,₦0.00,₦0.00
Delta,South South,₦958.89,"₦1,115.22","₦1,367.00","₦1,273.75",28-Apr-25,₦2.64,-₦0.41,₦4.00,₦0.18
Edo,South South,₦956.88,"₦1,197.00","₦1,200.00","₦1,285.71",28-Apr-25,-₦6.25,₦0.75,-₦50.00,₦0.00
Rivers,South South,₦959.29,"₦1,230.00","₦1,200.00","₦1,350.00",28-Apr-25,₦3.66,₦5.00,₦0.00,₦10.00
Ekiti,South West,₦931.11,"₦1,145.56","₦1,178.57","₦1,166.67",28-Apr-25,₦0.00,₦0.00,-₦7.14,₦0.00
Lagos,South West,₦893.47,"₦1,081.12","₦1,450.00","₦1,110.94",28-Apr-25,-₦1.78,-₦0.64,₦0.00,₦0.00
Ogun,South West,₦913.00,"₦1,101.25","₦1,265.00","₦1,100.00",28-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Ondo,South West,₦922.50,"₦1,135.88","₦1,273.75","₦1,273.50",28-Apr-25,-₦3.13,-₦1.87,-₦36.63,₦27.87
Osun,South West,₦902.88,"₦1,098.13","₦1,290.00","₦1,218.57",28-Apr-25,₦0.00,-₦3.12,₦0.00,₦0.00
Oyo,South West,₦898.00,"₦1,110.63","₦1,354.29","₦1,112.50",28-Apr-25,-₦11.38,₦10.00,₦4.29,₦0.00
,National,₦952.03,"₦1,164.32","₦1,318.00","₦1,225.83",29-Apr-25,-₦0.99,-₦2.90,₦3.10,₦1.91
Abuja,North Central,₦942.86,"₦1,168.57","₦1,160.00","₦1,223.33",29-Apr-25,₦1.07,₦2.57,-₦4.29,-₦3.81
Benue,North Central,₦966.11,"₦1,138.75",₦0.00,"₦1,300.00",29-Apr-25,-₦25.00,₦0.00,₦0.00,₦0.00
Kogi,North Central,₦939.88,"₦1,151.63","₦1,425.00","₦1,304.38",29-Apr-25,-₦9.50,-₦6.87,₦0.00,₦0.00
Kwara,North Central,₦970.00,"₦1,200.00","₦1,225.00","₦1,400.00",29-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Nasarawa,North Central,₦956.67,"₦1,156.67","₦1,500.00","₦1,130.00",29-Apr-25,-₦32.08,-₦10.00,₦0.00,-₦23.33
Niger,North Central,₦955.00,"₦1,155.00","₦1,475.00","₦1,151.67",29-Apr-25,₦0.71,₦0.00,₦0.00,₦11.67
Plateau,North Central,₦971.11,"₦1,288.89","₦1,266.67","₦1,247.78",29-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Adamawa,North East,₦978.33,"₦1,177.22","₦1,266.67","₦1,203.33",29-Apr-25,-₦0.56,-₦88.89,₦3.34,-₦2.23
Bauchi,North East,₦953.89,"₦1,148.89","₦1,340.00","₦1,181.11",29-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Borno,North East,"₦1,035.00","₦1,201.67","₦1,475.00","₦1,400.00",29-Apr-25,₦20.00,₦16.67,₦8.33,₦0.00
Gombe,North East,₦967.22,"₦1,168.89","₦1,428.89","₦1,238.89",29-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Taraba,North East,₦975.56,"₦1,195.56","₦1,487.50","₦1,350.00",29-Apr-25,₦0.00,₦0.00,₦0.00,-₦25.00
Yobe,North East,"₦1,016.67","₦1,247.78","₦1,316.67","₦1,180.00",29-Apr-25,₦2.23,₦0.00,-₦2.22,₦0.00
Jigawa,North West,₦977.22,"₦1,225.00","₦1,377.50","₦1,132.50",29-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Kaduna,North West,"₦1,072.22","₦1,190.00","₦1,300.00","₦1,137.50",29-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Kano,North West,₦969.88,"₦1,177.86","₦1,250.00","₦1,350.00",29-Apr-25,-₦1.25,₦0.00,₦0.00,-₦50.00
Katsina,North West,₦953.75,"₦1,142.86","₦1,314.29","₦1,302.00",29-Apr-25,-₦3.13,-₦17.14,₦0.00,₦0.00
Kebbi,North West,₦968.88,"₦1,176.43","₦1,250.00","₦1,325.00",29-Apr-25,-₦0.87,-₦0.71,₦0.00,-₦25.00
Sokoto,North West,₦972.86,"₦1,161.43","₦1,300.00","₦1,150.00",29-Apr-25,-₦3.39,-₦4.82,₦0.00,₦0.00
Zamfara,North West,"₦1,075.63","₦1,163.75","₦1,200.00","₦1,183.75",29-Apr-25,₦0.63,₦0.00,₦0.00,-₦12.50
Abia,South East,₦950.63,"₦1,266.25","₦1,302.86","₦1,300.00",29-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Anambra,South East,₦951.11,"₦1,183.75","₦1,370.00","₦1,193.17",29-Apr-25,-₦0.14,₦3.75,-₦30.00,-₦2.83
Ebonyi,South East,₦955.63,"₦1,093.33","₦1,500.00","₦1,100.00",29-Apr-25,-₦3.66,₦3.33,₦0.00,₦0.00
Enugu,South East,₦956.25,"₦1,256.25","₦1,300.00","₦1,362.50",29-Apr-25,₦0.00,-₦6.25,₦0.00,-₦25.00
Imo,South East,₦955.00,"₦1,278.75","₦1,300.00","₦1,300.00",29-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Akwa Ibom,South South,₦902.50,"₦1,155.00","₦1,200.00","₦1,080.00",29-Apr-25,-₦18.13,-₦15.00,-₦5.71,-₦28.57
Bayelsa,South South,₦941.25,"₦1,106.00",₦0.00,"₦1,100.00",29-Apr-25,₦0.62,₦0.00,₦0.00,₦0.00
Cross River,South South,₦924.44,"₦1,264.44","₦1,220.00","₦1,300.00",29-Apr-25,₦2.81,₦4.44,₦0.00,₦0.00
Delta,South South,₦953.75,"₦1,114.75","₦1,361.25","₦1,267.14",29-Apr-25,-₦5.14,-₦0.47,-₦5.75,-₦6.61
Edo,South South,₦957.88,"₦1,197.50","₦1,222.50","₦1,285.71",29-Apr-25,₦1.00,₦0.50,₦22.50,₦0.00
Rivers,South South,₦961.25,"₦1,225.00","₦1,200.00","₦1,350.00",29-Apr-25,₦1.96,-₦5.00,₦0.00,₦0.00
Ekiti,South West,₦931.67,"₦1,145.56","₦1,185.71","₦1,166.67",29-Apr-25,₦0.56,₦0.00,₦7.14,₦0.00
Lagos,South West,₦893.04,"₦1,079.65","₦1,450.00","₦1,110.94",29-Apr-25,-₦0.43,-₦1.47,₦0.00,₦0.00
Ogun,South West,₦911.13,"₦1,083.75","₦1,230.00","₦1,100.00",29-Apr-25,-₦1.87,-₦17.50,-₦35.00,₦0.00
Ondo,South West,₦923.13,"₦1,137.75","₦1,310.38","₦1,245.63",29-Apr-25,₦0.63,₦1.87,₦36.63,-₦27.87
Osun,South West,₦902.25,"₦1,101.88","₦1,287.50","₦1,228.57",29-Apr-25,-₦0.63,₦3.75,-₦2.50,₦10.00
Oyo,South West,₦897.75,"₦1,108.13","₦1,350.00","₦1,125.00",29-Apr-25,-₦0.25,-₦2.50,-₦4.29,₦12.50
,National,₦949.00,"₦1,164.75","₦1,323.21","₦1,226.07",30-Apr-25,-₦3.03,₦0.43,₦5.21,₦0.24
Abuja,North Central,₦942.50,"₦1,165.00","₦1,166.67","₦1,226.67",30-Apr-25,-₦0.36,-₦3.57,₦6.67,₦3.34
Benue,North Central,₦968.50,"₦1,138.75",₦0.00,"₦1,300.00",30-Apr-25,₦2.39,₦0.00,₦0.00,₦0.00
Kogi,North Central,₦941.25,"₦1,150.38","₦1,425.00","₦1,294.38",30-Apr-25,₦1.37,-₦1.25,₦0.00,-₦10.00
Kwara,North Central,₦972.86,"₦1,200.00","₦1,200.00","₦1,325.00",30-Apr-25,₦2.86,₦0.00,-₦25.00,-₦75.00
Nasarawa,North Central,₦978.75,"₦1,156.67","₦1,500.00","₦1,136.67",30-Apr-25,₦22.08,₦0.00,₦0.00,₦6.67
Niger,North Central,₦955.00,"₦1,155.00","₦1,475.00","₦1,151.67",30-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Plateau,North Central,₦971.11,"₦1,288.89","₦1,266.67","₦1,247.78",30-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Adamawa,North East,₦978.33,"₦1,177.22","₦1,265.56","₦1,205.56",30-Apr-25,₦0.00,₦0.00,-₦1.11,₦2.23
Bauchi,North East,₦949.38,"₦1,180.00","₦1,438.75","₦1,191.25",30-Apr-25,-₦4.51,₦31.11,₦98.75,₦10.14
Borno,North East,"₦1,033.89","₦1,201.67","₦1,475.00","₦1,400.00",30-Apr-25,-₦1.11,₦0.00,₦0.00,₦0.00
Gombe,North East,₦967.22,"₦1,168.89","₦1,428.89","₦1,238.89",30-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Taraba,North East,₦975.56,"₦1,195.56","₦1,487.50","₦1,337.50",30-Apr-25,₦0.00,₦0.00,₦0.00,-₦12.50
Yobe,North East,"₦1,015.56","₦1,243.33","₦1,320.00","₦1,180.00",30-Apr-25,-₦1.11,-₦4.45,₦3.33,₦0.00
Jigawa,North West,₦977.22,"₦1,225.00","₦1,377.50","₦1,132.50",30-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Kaduna,North West,"₦1,033.33","₦1,176.67","₦1,300.00","₦1,125.00",30-Apr-25,-₦38.89,-₦13.33,₦0.00,-₦12.50
Kano,North West,₦969.88,"₦1,177.86","₦1,250.00","₦1,300.00",30-Apr-25,₦0.00,₦0.00,₦0.00,-₦50.00
Katsina,North West,₦953.75,"₦1,150.00","₦1,314.29","₦1,302.00",30-Apr-25,₦0.00,₦7.14,₦0.00,₦0.00
Kebbi,North West,₦970.50,"₦1,176.43","₦1,250.00","₦1,300.00",30-Apr-25,₦1.62,₦0.00,₦0.00,-₦25.00
Sokoto,North West,₦965.00,"₦1,145.67","₦1,260.00","₦1,350.00",30-Apr-25,-₦7.86,-₦15.76,-₦40.00,₦200.00
Zamfara,North West,"₦1,075.63","₦1,163.75","₦1,200.00","₦1,183.75",30-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Abia,South East,₦950.63,"₦1,266.25","₦1,302.86","₦1,300.00",30-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Anambra,South East,₦954.44,"₦1,181.25","₦1,383.33","₦1,186.00",30-Apr-25,₦3.33,-₦2.50,₦13.33,-₦7.17
Ebonyi,South East,₦955.63,"₦1,093.33","₦1,500.00","₦1,100.00",30-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Enugu,South East,₦956.25,"₦1,262.50","₦1,300.00","₦1,400.00",30-Apr-25,₦0.00,₦6.25,₦0.00,₦37.50
Imo,South East,₦955.00,"₦1,278.75","₦1,300.00","₦1,300.00",30-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Akwa Ibom,South South,₦919.38,"₦1,135.00","₦1,241.43","₦1,108.57",30-Apr-25,₦16.88,-₦20.00,₦41.43,₦28.57
Bayelsa,South South,₦926.67,"₦1,100.00",₦0.00,"₦1,100.00",30-Apr-25,-₦14.58,-₦6.00,₦0.00,₦0.00
Cross River,South South,₦921.63,"₦1,260.00","₦1,220.00","₦1,300.00",30-Apr-25,-₦2.81,-₦4.44,₦0.00,₦0.00
Delta,South South,₦966.67,"₦1,166.67","₦1,300.00","₦1,170.00",30-Apr-25,₦12.92,₦51.92,-₦61.25,-₦97.14
Edo,South South,₦957.50,"₦1,196.25","₦1,233.33","₦1,291.67",30-Apr-25,-₦0.38,-₦1.25,₦10.83,₦5.96
Rivers,South South,₦945.00,"₦1,225.00","₦1,200.00","₦1,310.00",30-Apr-25,-₦16.25,₦0.00,₦0.00,-₦40.00
Ekiti,South West,₦930.56,"₦1,145.56","₦1,185.71","₦1,158.33",30-Apr-25,-₦1.11,₦0.00,₦0.00,-₦8.34
Lagos,South West,₦893.04,"₦1,079.04","₦1,450.00","₦1,110.94",30-Apr-25,₦0.00,-₦0.61,₦0.00,₦0.00
Ogun,South West,₦897.38,"₦1,074.38","₦1,265.00","₦1,100.00",30-Apr-25,-₦13.75,-₦9.37,₦35.00,₦0.00
Ondo,South West,₦923.13,"₦1,159.00","₦1,309.13","₦1,251.88",30-Apr-25,₦0.00,₦21.25,-₦1.25,₦6.25
Osun,South West,₦902.88,"₦1,098.13","₦1,290.00","₦1,218.57",30-Apr-25,₦0.63,-₦3.75,₦2.50,-₦10.00
Oyo,South West,₦893.50,"₦1,110.63","₦1,350.00","₦1,162.50",30-Apr-25,-₦4.25,₦2.50,₦0.00,₦37.50
,National,₦949.51,"₦1,162.06","₦1,323.84","₦1,228.15",01-May-25,₦0.51,-₦2.69,₦0.63,₦2.08
Abuja,North Central,₦937.33,"₦1,170.83","₦1,166.67","₦1,226.67",01-May-25,-₦5.17,₦5.83,₦0.00,₦0.00
Benue,North Central,₦960.50,"₦1,131.00",₦0.00,"₦1,300.00",01-May-25,-₦8.00,-₦7.75,₦0.00,₦0.00
Kogi,North Central,₦942.50,"₦1,141.00","₦1,425.00","₦1,292.50",01-May-25,₦1.25,-₦9.38,₦0.00,-₦1.88
Kwara,North Central,₦970.00,"₦1,200.00","₦1,225.00","₦1,400.00",01-May-25,-₦2.86,₦0.00,₦25.00,₦75.00
Nasarawa,North Central,₦978.75,"₦1,154.17","₦1,500.00","₦1,136.67",01-May-25,₦0.00,-₦2.50,₦0.00,₦0.00
Niger,North Central,₦955.00,"₦1,155.00","₦1,475.00","₦1,151.67",01-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Plateau,North Central,₦968.89,"₦1,288.89","₦1,266.67","₦1,245.56",01-May-25,-₦2.22,₦0.00,₦0.00,-₦2.22
Adamawa,North East,₦955.00,"₦1,146.67","₦1,236.67","₦1,183.33",01-May-25,-₦23.33,-₦30.55,-₦28.89,-₦22.23
Bauchi,North East,₦949.38,"₦1,184.29","₦1,472.86","₦1,197.14",01-May-25,₦0.00,₦4.29,₦34.11,₦5.89
Borno,North East,"₦1,033.89","₦1,201.67","₦1,475.00","₦1,400.00",01-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Gombe,North East,₦967.22,"₦1,168.89","₦1,428.89","₦1,238.89",01-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Taraba,North East,₦975.56,"₦1,195.56","₦1,487.50","₦1,368.75",01-May-25,₦0.00,₦0.00,₦0.00,₦31.25
Yobe,North East,"₦1,015.56","₦1,246.67","₦1,316.67","₦1,177.78",01-May-25,₦0.00,₦3.34,-₦3.33,-₦2.22
Jigawa,North West,₦961.67,"₦1,200.00","₦1,355.00","₦1,115.00",01-May-25,-₦15.55,-₦25.00,-₦22.50,-₦17.50
Kaduna,North West,"₦1,072.22","₦1,190.00","₦1,300.00","₦1,137.50",01-May-25,₦38.89,₦13.33,₦0.00,₦12.50
Kano,North West,₦957.75,"₦1,176.43","₦1,250.00","₦1,300.00",01-May-25,-₦12.13,-₦1.43,₦0.00,₦0.00
Katsina,North West,₦953.75,"₦1,150.00","₦1,314.29","₦1,302.00",01-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Kebbi,North West,₦957.50,"₦1,176.43","₦1,250.00","₦1,300.00",01-May-25,-₦13.00,₦0.00,₦0.00,₦0.00
Sokoto,North West,₦976.25,"₦1,166.25","₦1,300.00","₦1,150.00",01-May-25,₦11.25,₦20.58,₦40.00,-₦200.00
Zamfara,North West,"₦1,075.63","₦1,163.75","₦1,200.00","₦1,196.25",01-May-25,₦0.00,₦0.00,₦0.00,₦12.50
Abia,South East,₦950.63,"₦1,266.25","₦1,302.86","₦1,300.00",01-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Anambra,South East,₦944.44,"₦1,180.00","₦1,366.67","₦1,196.67",01-May-25,-₦10.00,-₦1.25,-₦16.66,₦10.67
Ebonyi,South East,₦955.63,"₦1,093.33","₦1,500.00","₦1,100.00",01-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Enugu,South East,₦956.25,"₦1,262.50","₦1,300.00","₦1,400.00",01-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Imo,South East,₦955.00,"₦1,272.50","₦1,300.00","₦1,300.00",01-May-25,₦0.00,-₦6.25,₦0.00,₦0.00
Akwa Ibom,South South,₦906.67,"₦1,103.33","₦1,200.00","₦1,090.00",01-May-25,-₦12.71,-₦31.67,-₦41.43,-₦18.57
Bayelsa,South South,₦940.63,"₦1,106.00",₦0.00,"₦1,100.00",01-May-25,₦13.96,₦6.00,₦0.00,₦0.00
Cross River,South South,₦924.13,"₦1,260.00","₦1,220.00","₦1,300.00",01-May-25,₦2.50,₦0.00,₦0.00,₦0.00
Delta,South South,₦966.67,"₦1,166.67","₦1,300.00","₦1,170.00",01-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Edo,South South,₦950.00,"₦1,197.50","₦1,250.00","₦1,291.67",01-May-25,-₦7.50,₦1.25,₦16.67,₦0.00
Rivers,South South,₦943.43,"₦1,220.00","₦1,200.00","₦1,327.50",01-May-25,-₦1.57,-₦5.00,₦0.00,₦17.50
Ekiti,South West,₦930.50,"₦1,146.00","₦1,187.50","₦1,135.71",01-May-25,-₦0.06,₦0.44,₦1.79,-₦22.62
Lagos,South West,₦893.04,"₦1,079.04","₦1,450.00","₦1,110.94",01-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Ogun,South West,₦897.38,"₦1,073.75","₦1,265.00","₦1,114.29",01-May-25,₦0.00,-₦0.63,₦0.00,₦14.29
Ondo,South West,₦923.13,"₦1,137.75","₦1,309.13","₦1,251.88",01-May-25,₦0.00,-₦21.25,₦0.00,₦0.00
Osun,South West,₦902.88,"₦1,098.13","₦1,290.00","₦1,218.57",01-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Oyo,South West,₦897.00,"₦1,108.13","₦1,350.00","₦1,175.00",01-May-25,₦3.50,-₦2.50,₦0.00,₦12.50
,National,₦948.86,"₦1,163.09","₦1,325.17","₦1,227.21",02-May-25,-₦0.65,₦1.03,₦1.33,-₦0.94
Abuja,North Central,₦935.36,"₦1,169.14","₦1,166.67","₦1,223.33",02-May-25,-₦1.97,-₦1.69,₦0.00,-₦3.34
Benue,North Central,₦965.50,"₦1,130.00",₦0.00,"₦1,300.00",02-May-25,₦5.00,-₦1.00,₦0.00,₦0.00
Kogi,North Central,₦944.38,"₦1,146.00","₦1,425.00","₦1,342.50",02-May-25,₦1.88,₦5.00,₦0.00,₦50.00
Kwara,North Central,₦970.00,"₦1,200.00","₦1,225.00","₦1,400.00",02-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Nasarawa,North Central,₦978.75,"₦1,154.17","₦1,500.00","₦1,136.67",02-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Niger,North Central,₦951.29,"₦1,155.00","₦1,475.00","₦1,151.67",02-May-25,-₦3.71,₦0.00,₦0.00,₦0.00
Plateau,North Central,₦971.11,"₦1,288.89","₦1,272.22","₦1,245.56",02-May-25,₦2.22,₦0.00,₦5.55,₦0.00
Adamawa,North East,₦957.78,"₦1,177.22","₦1,264.44","₦1,205.56",02-May-25,₦2.78,₦30.55,₦27.77,₦22.23
Bauchi,North East,₦949.38,"₦1,184.29","₦1,472.86","₦1,197.14",02-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Borno,North East,"₦1,033.89","₦1,201.67","₦1,475.00","₦1,400.00",02-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Gombe,North East,₦967.22,"₦1,168.89","₦1,428.89","₦1,238.89",02-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Taraba,North East,₦975.56,"₦1,195.56","₦1,487.50","₦1,337.50",02-May-25,₦0.00,₦0.00,₦0.00,-₦31.25
Yobe,North East,"₦1,013.33","₦1,247.78","₦1,316.67","₦1,178.89",02-May-25,-₦2.23,₦1.11,₦0.00,₦1.11
Jigawa,North West,₦958.89,"₦1,225.00","₦1,377.50","₦1,132.50",02-May-25,-₦2.78,₦25.00,₦22.50,₦17.50
Kaduna,North West,"₦1,072.22","₦1,190.00","₦1,300.00","₦1,137.50",02-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Kano,North West,₦955.44,"₦1,176.43","₦1,250.00","₦1,300.00",02-May-25,-₦2.31,₦0.00,₦0.00,₦0.00
Katsina,North West,₦953.75,"₦1,148.57","₦1,314.29","₦1,302.00",02-May-25,₦0.00,-₦1.43,₦0.00,₦0.00
Kebbi,North West,₦951.09,"₦1,175.00","₦1,216.67","₦1,283.33",02-May-25,-₦6.41,-₦1.43,-₦33.33,-₦16.67
Sokoto,North West,₦976.25,"₦1,166.25","₦1,300.00","₦1,150.00",02-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Zamfara,North West,"₦1,075.63","₦1,163.75","₦1,200.00","₦1,196.25",02-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Abia,South East,₦950.63,"₦1,266.25","₦1,302.86","₦1,300.00",02-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Anambra,South East,₦951.11,"₦1,185.56","₦1,341.67","₦1,175.00",02-May-25,₦6.67,₦5.56,-₦25.00,-₦21.67
Ebonyi,South East,₦955.63,"₦1,090.00","₦1,500.00","₦1,100.00",02-May-25,₦0.00,-₦3.33,₦0.00,₦0.00
Enugu,South East,₦956.25,"₦1,262.50","₦1,300.00","₦1,400.00",02-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Imo,South East,₦955.00,"₦1,272.50","₦1,300.00","₦1,300.00",02-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Akwa Ibom,South South,₦906.67,"₦1,103.33","₦1,200.00","₦1,090.00",02-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Bayelsa,South South,₦940.63,"₦1,106.00",₦0.00,"₦1,100.00",02-May-25,₦0.00,₦0.00,₦0.00,₦0.00
Cross River,South South,₦921.25,"₦1,260.00","₦1,220.00","₦1,300.00",02-May-25,-₦2.88,₦0.00,₦0.00,₦0.00
Delta,South South,₦955.00,"₦1,115.14","₦1,363.00","₦1,274.17",02-May-25,-₦11.67,-₦51.53,₦63.00,₦104.17
Edo,South South,₦952.86,"₦1,200.00","₦1,245.00","₦1,288.33",02-May-25,₦2.86,₦2.50,-₦5.00,-₦3.34
Rivers,South South,₦938.13,"₦1,225.00","₦1,200.00","₦1,320.00",02-May-25,-₦5.30,₦5.00,₦0.00,-₦7.50
Ekiti,South West,₦900.63,"₦1,147.50","₦1,200.00","₦1,133.33",02-May-25,-₦29.87,₦1.50,₦12.50,-₦2.38
Lagos,South West,₦892.84,"₦1,077.44","₦1,450.00","₦1,110.94",02-May-25,-₦0.20,-₦1.60,₦0.00,₦0.00
Ogun,South West,₦894.88,"₦1,073.75","₦1,265.00","₦1,114.29",02-May-25,-₦2.50,₦0.00,₦0.00,₦0.00
Ondo,South West,₦920.63,"₦1,137.75","₦1,310.38","₦1,248.75",02-May-25,-₦2.50,₦0.00,₦1.25,-₦3.13
